# x_m, y_m, w_tr_right_m, w_tr_left_m
0,0,1.1,1.1
0.164901534,0.417981335,1.1,1.1
0.32981691,0.83595512,1.1,1.1
0.494742441,1.253922434,1.1,1.1
0.659674622,1.671884355,1.1,1.1
0.82460977,2.089841963,1.1,1.1
0.989544199,2.507796515,1.1,1.1
1.154474403,2.92574891,1.1,1.1
1.319396789,3.343700406,1.1,1.1
1.48430758,3.761651992,1.1,1.1
1.649203273,4.179604836,1.1,1.1
1.814080272,4.597560017,1.1,1.1
1.978934891,5.015518613,1.1,1.1
2.143763537,5.433481793,1.1,1.1
2.308562615,5.851450635,1.1,1.1
2.473328528,6.269426128,1.1,1.1
2.638058491,6.68740935,1.1,1.1
2.802753583,7.105400211,1.1,1.1
2.967415691,7.523398442,1.1,1.1
3.132046613,7.941403953,1.1,1.1
3.296648325,8.359416474,1.1,1.1
3.461222715,8.777435826,1.1,1.1
3.62577149,9.195461918,1.1,1.1
3.790296719,9.613494302,1.1,1.1
3.954800198,10.03153298,1.1,1.1
4.119283814,10.44957776,1.1,1.1
4.283749456,10.8676283,1.1,1.1
4.44819901,11.2856845,1.1,1.1
4.612634363,11.70374609,1.1,1.1
4.777057314,12.12181299,1.1,1.1
4.94146975,12.53988483,1.1,1.1
5.105873648,12.95796161,1.1,1.1
5.270270894,13.37604297,1.1,1.1
5.434663198,13.79412874,1.1,1.1
5.599052626,14.21221883,1.1,1.1
5.763440885,14.63031286,1.1,1.1
5.927830043,15.04841077,1.1,1.1
6.092221807,15.46651226,1.1,1.1
6.256618245,15.88461727,1.1,1.1
6.421020974,16.30272541,1.1,1.1
6.585432152,16.72083671,1.1,1.1
6.749853395,17.1389507,1.1,1.1
6.914286772,17.55706738,1.1,1.1
7.078734169,17.9751865,1.1,1.1
7.243197294,18.39330786,1.1,1.1
7.407678214,18.81143128,1.1,1.1
7.572178637,19.22955651,1.1,1.1
7.73670054,19.64768335,1.1,1.1
7.901245811,20.06581163,1.1,1.1
8.065816336,20.48394108,1.1,1.1
8.230413914,20.9020716,1.1,1.1
8.395040432,21.32020303,1.1,1.1
8.559697866,21.73833499,1.1,1.1
8.724388015,22.15646741,1.1,1.1
8.889112765,22.5746,1.1,1.1
9.053874005,22.99273269,1.1,1.1
9.218673712,23.41086519,1.1,1.1
9.383513592,23.82899734,1.1,1.1
9.548395534,24.24712894,1.1,1.1
9.713321604,24.66525974,1.1,1.1
9.87829351,25.08338954,1.1,1.1
10.04331314,25.50151818,1.1,1.1
10.20838247,25.91964539,1.1,1.1
10.3735033,26.33777115,1.1,1.1
10.53867752,26.75589503,1.1,1.1
10.703907,27.17401692,1.1,1.1
10.86919365,27.59213676,1.1,1.1
11.03453935,28.01025416,1.1,1.1
11.19994598,28.42836896,1.1,1.1
11.36541534,28.84648097,1.1,1.1
11.53409009,29.2625744,1.1,1.1
11.72167576,29.6665704,1.1,1.1
11.94701857,30.04637488,1.1,1.1
12.22858537,30.38990184,1.1,1.1
12.57041836,30.68538809,1.1,1.1
12.95800763,30.92148523,1.1,1.1
13.37563755,31.08691756,1.1,1.1
13.81059939,31.17895344,1.1,1.1
14.25672062,31.21343464,1.1,1.1
14.7086874,31.2086417,1.1,1.1
15.16112423,31.1814809,1.1,1.1
15.60777878,31.12913447,1.1,1.1
16.0417422,31.03402065,1.1,1.1
16.45612881,30.87855858,1.1,1.1
16.84548295,30.65813786,1.1,1.1
17.20614984,30.38449146,1.1,1.1
17.53459014,30.0703951,1.1,1.1
17.8267006,29.72737126,1.1,1.1
18.07440418,29.35810649,1.1,1.1
18.26791566,28.96148822,1.1,1.1
18.39799312,28.53691798,1.1,1.1
